song URL,chords
copyrighted content — ask author for info.,"['Dm', 'G', 'Dm', 'G', 'Dm', 'G', 'Dm', 'G', 'A-', 'Dm', 'A-', 'Dm', 'A-', 'Dm', 'G', 'C', 'F/G', 'Dm', 'G', 'C', 'F/G', 'Dm', 'G', 'C', 'F/G', 'Dm', 'G', 'C', 'F/G', 'Dm', 'G', 'C', 'F/G', 'C', 'Dm', 'G', 'Dm', 'G', 'Dm', 'G', 'Dm', 'G', 'A-', 'Dm', 'A-', 'Dm', 'A-', 'Dm', 'G', 'C', 'F/G', 'Dm', 'G', 'C', 'F/G', 'Dm', 'G', 'C', 'F/G', 'Dm', 'G', 'C', 'F/G', 'Dm', 'G', 'C', 'F/G', 'C', 'F', 'A-', 'F', 'A-', 'F', 'A-', 'F', 'G', 'C', 'F/G', 'Dm', 'G', 'C', 'Dm', 'G', 'Dm', 'G', 'Dm', 'G', 'Dm', 'G', 'A-', 'Dm', 'A-', 'Dm', 'A-', 'Dm', 'G', 'C', 'F/G', 'Dm', 'G', 'C', 'F/G', 'Dm', 'G', 'C', 'F/G', 'Dm', 'G', 'C', 'F/G', 'Dm', 'G', 'C', 'F/G', 'C', 'C', 'F/G', 'C', 'F/G', 'G', 'C', 'F/G', 'C']"
copyrighted content — ask author for info.,"['C', 'C', 'F', 'C', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'C', 'C', 'F', 'C', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'C', 'G', 'C', 'F', 'C', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'C', 'G', 'C', 'A-', 'F', 'C', 'G', 'C', 'G', 'C', 'A-', 'F', 'C', 'G', 'C', 'G', 'C', 'C']"
copyrighted content — ask author for info.,"['C', 'F', 'A-', 'F', 'C', 'F', 'A-', 'F', 'C', 'F', 'A-', 'F', 'C', 'F', 'A-', 'F', 'C', 'C', 'Dm', 'A-', 'F', 'C', 'Dm', 'A-', 'F', 'C', 'Dm', 'A-', 'F', 'C', 'Dm', 'A-', 'F', 'C', 'C', 'F', 'A-', 'F', 'C', 'F', 'A-', 'F', 'C', 'F', 'A-', 'F', 'C', 'F', 'A-', 'F', 'C', 'C', 'Dm', 'A-', 'F', 'C', 'Dm', 'A-', 'F', 'C', 'Dm', 'A-', 'F', 'C', 'Dm', 'A-', 'F', 'C', 'C', 'Dm', 'A-', 'F', 'C', 'Dm', 'A-', 'F', 'C', 'Dm', 'A-', 'F', 'C', 'Dm', 'A-', 'F', 'C']"
copyrighted content — ask author for info.,"['C', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'Am/G', 'Dm', 'G', 'C', 'C', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'Am/G', 'Dm', 'G', 'C', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'Am/G', 'Dm', 'G']"
copyrighted content — ask author for info.,"['Am/G', 'F/G', 'C', 'Gsus4/B', 'Am/G', 'F/G', 'C', 'Gsus4/B', 'Am/G', 'F/G', 'C', 'Gsus4/B', 'Am/G', 'F/G', 'C', 'Gsus4/B', 'Am/G', 'F/G', 'C', 'Gsus4/B', 'Am/G', 'F/G', 'C', 'G4', 'F/G', 'F/G', 'Am/G', 'G4', 'F/G', 'F/G', 'Am/G', 'G4', 'F/G', 'F/G', 'Am/G', 'G4', 'F/G', 'Am/G', 'G', 'Am/G', 'G', 'F/G', 'Am/G', 'F/G', 'C', 'Gsus4/B', 'Am/G', 'F/G', 'C', 'Gsus4/B', 'Am/G', 'F/G', 'C', 'Gsus4/B', 'Am/G', 'F/G', 'C', 'G4', 'F/G', 'F/G', 'Am/G', 'G4', 'F/G', 'F/G', 'Am/G', 'G4', 'F/G', 'F/G', 'Am/G', 'G4', 'F/G', 'G4', 'G4', 'Am/G', 'F/G', 'G4', 'G4', 'Am/G', 'F/G', 'G4', 'G4', 'Am/G', 'F/G', 'G', 'Am/G', 'G', 'Am/G', 'G', 'Am/G', 'F/G', 'Am/G', 'F/G', 'C', 'Gsus4/B', 'G4', 'G']"
copyrighted content — ask author for info.,"['F', 'C', 'Dm', 'C', 'F', 'C', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Dm']"
copyrighted content — ask author for info.,"['G', 'C', 'G', 'C', 'G', 'D4', 'G', 'C', 'G', 'D4', 'G', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'C', 'G', 'C', 'G', 'D4', 'G', 'C', 'G', 'D4', 'G', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'C', 'G', 'C', 'G', 'D4', 'G', 'C', 'G', 'D4', 'G', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C']"
copyrighted content — ask author for info.,"['C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'F', 'G', 'C', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'F', 'G', 'C', 'F', 'G', 'C']"
copyrighted content — ask author for info.,"['C', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'Dm', 'G', 'C', 'F', 'G', 'C', 'F', 'Dm', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'Dm', 'G', 'C', 'F', 'G', 'C', 'F', 'Dm', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'Dm', 'G', 'C', 'F', 'G', 'C', 'F', 'Dm', 'G', 'C', 'F', 'G', 'C', 'F', 'G']"
copyrighted content — ask author for info.,"['C', 'A-', 'E-', 'F', 'C', 'A-', 'E-', 'F', 'C', 'A-', 'E-', 'F', 'C', 'C', 'A-', 'E-', 'F', 'C', 'C', 'A-', 'E-', 'F', 'C', 'C', 'A-', 'E-', 'F', 'C', 'C', 'A-', 'E-', 'F', 'C', 'C', 'A-', 'E-', 'F', 'C', 'C', 'A-', 'E-', 'F', 'C', 'C', 'A-', 'E-', 'F', 'C', 'C', 'A-', 'E-', 'F', 'C', 'C', 'A-', 'E-', 'F', 'C', 'C', 'A-', 'E-', 'F', 'C', 'C', 'A-', 'E-', 'F', 'C', 'C', 'A-', 'E-', 'F', 'C', 'C', 'A-', 'E-', 'F', 'C', 'C', 'A-', 'E-', 'F', 'C', 'C', 'A-', 'E-', 'F', 'C']"
