Em/C,"4, 7, 11, 0"
Em13/C#,"4, 7, 11, 1"
Em/C#,"4, 7, 11, 1"
Em6,"4, 7, 11, 1"
Em6add9,"4, 7, 11, 1, 6"
Em11/A,"4, 7, 11, 1, 9"
Em/D,"4, 7, 11, 2"
Em7,"4, 7, 11, 2"
Em7/B,"4, 7, 11, 2"
Em7/D,"4, 7, 11, 2"
Em7/G,"4, 7, 11, 2"
Em7/C#,"4, 7, 11, 2, 1"
Em7/A,"4, 7, 11, 2, 9"
Emmaj7,"4, 7, 11, 3"
Emmaj9,"4, 7, 11, 6"
Em/F#,"4, 7, 11, 6"
Em9,"4, 7, 11, 6"
Em/A,"4, 7, 11, 9"
Emadd9,"4, 7, 11, 9"
E+,"4, 8, 0"
Eaug,"4, 8, 0"
Eaug,"4, 8, 0"
E7(+5),"4, 8, 0, 2"
E,"4, 8, 11"
E/B,"4, 8, 11"
E/Ab,"4, 8, 11"
E/G#,"4, 8, 11"
EM,"4, 8, 11"
Emaj,"4, 8, 11"
E/C,"4, 8, 11, 0"
E6,"4, 8, 11, 1"
E/D,"4, 8, 11, 2"
E7,"4, 8, 11, 2"
E7/B,"4, 8, 11, 2"
E7/G#,"4, 8, 11, 2"
EM7,"4, 8, 11, 2"
Emaj7,"4, 8, 11, 2"
E7b9,"4, 8, 11, 2, 5"
E7#9,"4, 8, 11, 2, 6"
E7/A,"4, 8, 11, 2, 9"
E/Eb,"4, 8, 11, 3"
E/D#,"4, 8, 11, 3"
E/F#,"4, 8, 11, 6"
Emaj9,"4, 8, 11, 6"
Eadd9,"4, 8, 11, 6"
E9,"4, 8, 11, 6"
Eadd9,"4, 8, 11, 6"
E9/D,"4, 8, 11, 6, 2"
E/A,"4, 8, 11, 9"
Esus,"4, 9, 11"
Esus/B,"4, 9, 11"
Esus4/A,"4, 9, 11"
Esus4,"4, 9, 11"
E7sus,"4, 9, 11, 2"
E7sus4,"4, 9, 11, 2"
E7sus4/B,"4, 9, 11, 2"
E7sus4/B,"4, 9, 11, 2"
E9sus4,"4, 9, 11, 6"
F5,"5, 0"
F5/D,"5, 0, 2"
Fsus4,"5, 10, 0"
F(add2),"5, 7, 0"
Fsus2,"5, 7, 0"
F-,"5, 8, 0"
Fm/G#,"5, 8, 0"
Fm,"5, 8, 0"
Fm/C,"5, 8, 0"
Fm/F,"5, 8, 0"
Fm6,"5, 8, 0, 2"
Fm7,"5, 8, 0, 3"
Fdim,"5, 8, 11"
F,"5, 9, 0"
F/A,"5, 9, 0"
F/C,"5, 9, 0"
Fmaj,"5, 9, 0"
Fmaj/A,"5, 9, 0"
Fmaj/C,"5, 9, 0"
Fadd#11,"5, 9, 0, 11"
Fadd9,"5, 9, 0, 11"
F/D,"5, 9, 0, 2"
F13,"5, 9, 0, 2"
F6,"5, 9, 0, 2"
F6/A,"5, 9, 0, 2"
F6add9/A,"5, 9, 0, 2"
F6add9/C,"5, 9, 0, 2"
F6add9,"5, 9, 0, 2, 7"
F7,"5, 9, 0, 3"
F7/C,"5, 9, 0, 3"
F7M,"5, 9, 0, 3"
FM7,"5, 9, 0, 3"
Fma7,"5, 9, 0, 3"
Fmaj7,"5, 9, 0, 3"
FMaj7,"5, 9, 0, 3"
Fmaj7/A,"5, 9, 0, 3"
F/Eb,"5, 9, 0, 3"
Fmaj7/C,"5, 9, 0, 3"
F7/B,"5, 9, 0, 3, 11"
Fmaj7#11,"5, 9, 0, 3, 11"
F11-9,"5, 9, 0, 3, 6, 11"
